chr10	0	10000	8586	8586	10000	0.8586000
chr10	10000	20000	5301	5301	10000	0.5301000
chr10	20000	30000	6247	6247	10000	0.6247000
chr10	30000	40000	4413	4413	10000	0.4413000
chr10	40000	50000	1137	1137	10000	0.1137000
chr10	50000	60000	9344	9344	10000	0.9344000
chr10	60000	70000	9885	9885	10000	0.9885000
chr10	70000	80000	5704	5704	10000	0.5704000
chr10	80000	90000	8550	8550	10000	0.8550000
chr10	90000	100000	9323	9323	10000	0.9323000
chr10	100000	110000	8488	8488	10000	0.8488000
chr10	110000	120000	9951	9951	10000	0.9951000
chr10	120000	130000	9711	9711	10000	0.9711000
chr10	130000	140000	5417	5417	10000	0.5417000
chr10	140000	150000	7993	7993	10000	0.7993000
chr10	150000	160000	9426	9426	10000	0.9426000
chr10	160000	170000	8053	8053	10000	0.8053000
chr10	170000	180000	9878	9878	10000	0.9878000
chr10	180000	190000	9738	9738	10000	0.9738000
chr10	190000	200000	9931	9931	10000	0.9931000
chr10	200000	210000	9950	9950	10000	0.9950000
chr10	210000	220000	9539	9539	10000	0.9539000
chr10	220000	230000	8871	8871	10000	0.8871000
chr10	230000	240000	9181	9181	10000	0.9181000
chr10	240000	250000	9791	9791	10000	0.9791000
chr10	250000	260000	9421	9421	10000	0.9421000
chr10	260000	270000	7571	7571	10000	0.7571000
chr10	270000	280000	8546	8546	10000	0.8546000
chr10	280000	290000	4336	4336	10000	0.4336000
chr10	290000	300000	9941	9941	10000	0.9941000
chr10	300000	310000	7846	7846	10000	0.7846000
chr10	310000	320000	8811	8811	10000	0.8811000
chr10	320000	330000	8573	8573	10000	0.8573000
chr10	330000	340000	9555	9555	10000	0.9555000
chr10	340000	350000	9951	9951	10000	0.9951000
chr10	350000	360000	9343	9343	10000	0.9343000
chr10	360000	370000	9358	9358	10000	0.9358000
chr10	370000	380000	9836	9836	10000	0.9836000
chr10	380000	390000	9653	9653	10000	0.9653000
chr10	390000	400000	9993	9993	10000	0.9993000
chr10	400000	410000	9886	9886	10000	0.9886000
chr10	410000	420000	9780	9780	10000	0.9780000
chr10	420000	430000	4868	4868	10000	0.4868000
chr10	430000	440000	3458	3458	10000	0.3458000
chr10	440000	450000	8478	8478	10000	0.8478000
chr10	450000	460000	9094	9094	10000	0.9094000
chr10	460000	470000	9961	9961	10000	0.9961000
chr10	470000	480000	9777	9777	10000	0.9777000
chr10	480000	490000	9408	9408	10000	0.9408000
chr10	490000	500000	9799	9799	10000	0.9799000
chr10	500000	510000	9689	9689	10000	0.9689000
chr10	510000	520000	4004	4004	10000	0.4004000
chr10	520000	530000	8954	8954	10000	0.8954000
chr10	530000	540000	9998	9998	10000	0.9998000
chr10	540000	550000	9551	9551	10000	0.9551000
chr10	550000	560000	9291	9291	10000	0.9291000
chr10	560000	570000	9534	9534	10000	0.9534000
chr10	570000	580000	9868	9868	10000	0.9868000
chr10	580000	590000	9829	9829	10000	0.9829000
chr10	590000	600000	9900	9900	10000	0.9900000
chr10	600000	610000	9756	9756	10000	0.9756000
chr10	610000	620000	9990	9990	10000	0.9990000
chr10	620000	630000	9455	9455	10000	0.9455000
chr10	630000	640000	9558	9558	10000	0.9558000
chr10	640000	650000	9702	9702	10000	0.9702000
chr10	650000	660000	9779	9779	10000	0.9779000
chr10	660000	670000	9992	9992	10000	0.9992000
chr10	670000	680000	9982	9982	10000	0.9982000
chr10	680000	690000	9536	9536	10000	0.9536000
chr10	690000	700000	9728	9728	10000	0.9728000
chr10	700000	710000	9563	9563	10000	0.9563000
chr10	710000	720000	8908	8908	10000	0.8908000
chr10	720000	730000	9521	9521	10000	0.9521000
